rating_id,score,program_id,user_id
1,3.72931,347,1
2,0.87339,213,1
3,1.77762,101,1
4,0.634057,190,1
5,1.17166,251,1
6,0.412085,283,1
7,1.57202,61,1
8,4.25695,109,1
9,3.61947,239,1
10,4.3695,393,1
11,4.11985,210,1
12,0.337751,225,1
13,2.70297,329,1
14,4.97827,258,1
15,0.0202801,130,1
16,0.455639,291,1
17,0.140253,170,1
18,1.92215,223,1
19,2.47359,462,1
20,0.688238,260,1
21,1.19293,164,1
22,2.2107,82,1
23,0.492556,4,1
24,1.10298,476,1
25,4.68147,142,1
26,3.83159,315,1
27,3.97859,516,1
28,3.56806,363,1
29,2.97286,454,1
30,3.06259,85,1
31,4.88854,420,1
32,3.96483,550,1
33,0.483251,401,1
34,0.894504,13,1
35,4.96376,186,1
36,1.46767,227,1
37,3.19231,343,1
38,4.32939,531,1
39,2.87392,562,1
40,1.50176,35,1
41,0.324801,235,1
42,3.64386,42,1
43,0.187164,97,1
44,3.15125,340,1
45,0.976249,314,1
46,0.869262,493,1
47,4.93064,574,1
48,2.50735,293,1
49,4.90211,397,1
50,1.48449,71,1
51,3.99844,511,2
52,0.476869,41,2
53,3.14467,47,2
54,3.45254,239,2
55,4.17672,510,2
56,2.68002,207,2
57,3.21739,536,2
58,4.68872,174,2
59,3.36377,437,2
60,4.45516,122,2
61,3.6731,87,2
62,1.25131,494,2
63,2.4247,375,2
64,0.993499,220,2
65,2.67647,245,2
66,1.51727,303,2
67,0.0530168,94,2
68,0.848833,389,2
69,4.19311,281,2
70,3.58849,92,2
71,2.19502,304,2
72,4.5129,270,2
73,4.18721,485,2
74,4.74485,542,2
75,3.9589,364,2
76,2.7805,72,2
77,1.18884,505,2
78,1.53359,588,2
79,1.62298,190,2
80,3.21968,376,2
81,3.76166,123,2
82,2.66935,456,2
83,2.22246,164,2
84,0.0260198,45,2
85,1.1169,144,2
86,1.08635,58,2
87,4.26277,59,2
88,2.06109,562,2
89,4.68259,487,2
90,1.6475,501,2
91,2.68931,457,2
92,2.60952,48,2
93,1.74575,540,2
94,3.17462,227,2
95,2.60254,244,2
96,2.31669,40,2
97,1.16266,79,2
98,3.00502,299,2
99,4.1648,475,2
100,1.10336,344,2
101,0.81336,517,3
102,4.5789,75,3
103,4.23467,234,3
104,1.51629,222,3
105,3.13727,518,3
106,4.40925,190,3
107,2.68771,500,3
108,3.04329,248,3
109,0.000986578,175,3
110,2.43748,221,3
111,2.97767,376,3
112,2.12702,153,3
113,0.251848,247,3
114,4.02782,214,3
115,2.6068,495,3
116,0.542766,512,3
117,3.48293,1,3
118,0.927253,474,3
119,4.50388,229,3
120,4.18851,34,3
121,4.7149,54,3
122,0.600414,308,3
123,3.67637,393,3
124,0.425258,85,3
125,4.44865,396,3
126,4.89589,218,3
127,0.131707,206,3
128,1.18144,258,3
129,1.25946,56,3
130,4.93536,416,3
131,2.43834,438,3
132,0.248988,171,3
133,3.0958,574,3
134,1.5054,14,3
135,2.5253,315,3
136,1.72214,115,3
137,4.87877,553,3
138,3.12843,579,3
139,2.87181,504,3
140,4.18885,429,3
141,2.33041,354,3
142,0.0380084,195,3
143,1.05468,439,3
144,4.70221,515,3
145,0.182172,48,3
146,2.63951,77,3
147,0.787703,516,3
148,0.169127,317,3
149,3.03501,400,3
150,0.238872,459,3
151,0.521968,194,4
152,0.629631,359,4
153,0.203738,414,4
154,2.71567,524,4
155,0.623463,203,4
156,4.31519,587,4
157,1.89358,413,4
158,0.55282,301,4
159,2.69101,102,4
160,1.80354,481,4
161,3.85009,509,4
162,3.8849,302,4
163,3.4183,285,4
164,1.60687,113,4
165,0.574835,318,4
166,2.42434,416,4
167,1.52647,397,4
168,2.2084,200,4
169,0.842239,41,4
170,4.31631,404,4
171,0.7089,409,4
172,4.56969,239,4
173,1.47536,326,4
174,3.81832,400,4
175,4.72469,269,4
176,1.15439,551,4
177,2.86339,429,4
178,4.18443,159,4
179,2.39496,270,4
180,0.894821,492,4
181,1.87447,173,4
182,4.08874,444,4
183,1.59794,316,4
184,4.74046,105,4
185,4.98762,79,4
186,4.16943,223,4
187,1.67819,252,4
188,1.43077,198,4
189,0.0353395,155,4
190,1.87278,297,4
191,4.99566,94,4
192,4.81592,539,4
